id,title,placename,state,lga,parish,feature_term,latitude,longitude,source,flag,description,datestart,dateend,linkback,tlcmaplink,layerlink,state_id
a168f8,Ross,Ross,TAS,NORTHERN MIDLANDS,,Suburb/Locality,-42.02000046,147.5,Australian Gazetteer,,on the Argyle Plains about 11km S of Campbell Town,,,,http://tlcmap.org/ghap/search?id=a168f8,http://tlcmap.org/ghap,1288
a16902,Oatlands,Oatlands,TAS,SOUTHERN MIDLANDS,,Suburb/Locality,-42.29999924,147.3699951,Australian Gazetteer,,on the Midland Highway at Lake Dulverton,,,,http://tlcmap.org/ghap/search?id=a16902,http://tlcmap.org/ghap,1288
a1690f,Sorell,Sorell,TAS,SORELL,,Suburb/Locality,-42.77999878,147.5599976,Australian Gazetteer,,on the northern shore of Pitt Water about 25km ENE of Hobart,,,,http://tlcmap.org/ghap/search?id=a1690f,http://tlcmap.org/ghap,1288
a16b4b,Acton,Acton,TAS,Burnie,,Suburb/Locality,-41.06000137,145.8899994,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b4b,http://tlcmap.org/ghap,1288
a16b4f,Acton Park,Acton Park,TAS,Clarence,,Suburb/Locality,-42.86999893,147.4700012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b4f,http://tlcmap.org/ghap,1288
a16b8e,Akaroa,Akaroa,TAS,Break O'Day,,Suburb/Locality,-41.29999924,148.3099976,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b8e,http://tlcmap.org/ghap,1288
a16b92,Alanvale,Alanvale,TAS,Launceston,,"Locality, Unbounded",-41.38000107,147.1199951,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b92,http://tlcmap.org/ghap,1288
a16b9b,Alberton,Alberton,TAS,Dorset,,Suburb/Locality,-41.29000092,147.7799988,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b9b,http://tlcmap.org/ghap,1288
a16ba5,Alcomie,Alcomie,TAS,Circular Head,,Suburb/Locality,-40.93000031,145.1900024,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16ba5,http://tlcmap.org/ghap,1288
a16bac,Alexandra,Alexandra,TAS,Break O'Day,,Historical locality,-41.61999893,147.8600006,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16bac,http://tlcmap.org/ghap,1288
a16bc7,Allens Rivulet,Allens Rivulet,TAS,Kingborough,,Suburb/Locality,-43.00999832,147.1999969,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16bc7,http://tlcmap.org/ghap,1288
a16bdd,Alonnah,Alonnah,TAS,Kingborough,,Suburb/Locality,-43.31000137,147.2400055,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16bdd,http://tlcmap.org/ghap,1288
a16be3,Altamont,Altamont,TAS,Derwent Valley,,Historical locality,-42.77000046,147.1300049,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16be3,http://tlcmap.org/ghap,1288
a16be9,Alveston,Alveston,TAS,Meander Valley,,Populated Place,-41.52000046,146.6600037,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16be9,http://tlcmap.org/ghap,1288
a16bed,Ambleside,Ambleside,TAS,Devonport,,Suburb/Locality,-41.20000076,146.3699951,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16bed,http://tlcmap.org/ghap,1288
a16c05,Andover,Andover,TAS,Southern Midlands,,Suburb/Locality,-42.33000183,147.4499969,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c05,http://tlcmap.org/ghap,1288
a16c21,Ansons Bay,Ansons Bay,TAS,Break O'Day,,Suburb/Locality,-41.02999878,148.2599945,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c21,http://tlcmap.org/ghap,1288
a16c2b,Antill Ponds,Antill Ponds,TAS,Southern Midlands,,Suburb/Locality,-42.20000076,147.3999939,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c2b,http://tlcmap.org/ghap,1288
a16c36,Apollo Bay,Apollo Bay,TAS,Kingborough,,Suburb/Locality,-43.15999985,147.2700043,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c36,http://tlcmap.org/ghap,1288
a16c3c,Apple Orchard,Apple Orchard,TAS,Flinders,,District1,-40.36000061,148.1799927,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16c3c,http://tlcmap.org/ghap,1288
a16c41,Appledore,Appledore,TAS,Devonport,,District1,-41.18999863,146.3600006,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16c41,http://tlcmap.org/ghap,1288
a16c45,Apslawn,Apslawn,TAS,Glamorgan-Spring Bay,,Suburb/Locality,-41.95000076,148.1799927,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c45,http://tlcmap.org/ghap,1288
a16c49,Apsley,Apsley,TAS,Central Highlands,,Suburb/Locality,-42.43000031,147.1399994,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c49,http://tlcmap.org/ghap,1288
a16c6c,Arm End,Arm End,TAS,Clarence,,District1,-42.97000122,147.3999939,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16c6c,http://tlcmap.org/ghap,1288
a16c85,Arthur River,Arthur River,TAS,Circular Head,,Suburb/Locality,-41.04000092,144.6600037,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16c85,http://tlcmap.org/ghap,1288
a16c8e,Arthurs Lake,Arthurs Lake,TAS,Central Highlands,,Suburb/Locality,-41.99000168,146.9499969,Australian Gazetteer,,Gazetted,,,,http://tlcmap.org/ghap/search?id=a16c8e,http://tlcmap.org/ghap,1288
a16ca8,Ashley,Ashley,TAS,Meander Valley,,District1,-41.52000046,146.6999969,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16ca8,http://tlcmap.org/ghap,1288
a16cae,Ashwater,Ashwater,TAS,Central Coast,,"Locality, Unbounded",-41.15000153,146.0099945,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16cae,http://tlcmap.org/ghap,1288
a16cbc,Auburn,Auburn,TAS,Northern Midlands,,District1,-41.97999954,147.2799988,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16cbc,http://tlcmap.org/ghap,1288
a16cc6,Austins Ferry,Austins Ferry,TAS,Glenorchy,,Suburb/Locality,-42.77999878,147.25,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16cc6,http://tlcmap.org/ghap,1288
a16cc8,Austral,Austral,TAS,West Coast,,District1,-41.90999985,145.3399963,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16cc8,http://tlcmap.org/ghap,1288
a16ccb,Austral Siding,Austral Siding,TAS,West Coast,,Historical locality,-41.90999985,145.3399963,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16ccb,http://tlcmap.org/ghap,1288
a16cd4,Avoca,Avoca,TAS,Northern Midlands,,Suburb/Locality,-41.77999878,147.7200012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16cd4,http://tlcmap.org/ghap,1288
a16ce8,Back Creek,Back Creek,TAS,George Town,,District1,-41.04000092,147.1100006,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16ce8,http://tlcmap.org/ghap,1288
a16cf1,Back River,Back River,TAS,Derwent Valley,,District1,-42.74000168,147.0599976,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16cf1,http://tlcmap.org/ghap,1288
a16d02,Baden,Baden,TAS,Southern Midlands,,Suburb/Locality,-42.43000031,147.4600067,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d02,http://tlcmap.org/ghap,1288
a16d12,Badger Head,Badger Head,TAS,West Tamar,,Suburb/Locality,-41.09999847,146.6699982,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d12,http://tlcmap.org/ghap,1288
a16d2c,Bagdad,Bagdad,TAS,Southern Midlands,,Suburb/Locality,-42.63000107,147.2200012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d2c,http://tlcmap.org/ghap,1288
a16d3f,Bakers Beach,Bakers Beach,TAS,Latrobe,,Suburb/Locality,-41.13999939,146.6000061,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d3f,http://tlcmap.org/ghap,1288
a16d5f,Balfour,Balfour,TAS,Circular Head,,"Locality, Unbounded",-41.25999832,144.8999939,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d5f,http://tlcmap.org/ghap,1288
a16d68,Bally Park,Bally Park,TAS,Sorell,,Populated Place,-42.84999847,147.6100006,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d68,http://tlcmap.org/ghap,1288
a16d71,Banca,Banca,TAS,Dorset,,Suburb/Locality,-41.02000046,147.8000031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d71,http://tlcmap.org/ghap,1288
a16d75,Bangor,Bangor,TAS,Launceston,,Suburb/Locality,-41.20999908,147.1300049,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16d75,http://tlcmap.org/ghap,1288
a16dbc,Barnes Bay,Barnes Bay,TAS,Kingborough,,Suburb/Locality,-43.11999893,147.3500061,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16dbc,http://tlcmap.org/ghap,1288
a16de7,Barretta,Barretta,TAS,Kingborough,,Suburb/Locality,-43.04000092,147.2599945,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16de7,http://tlcmap.org/ghap,1288
a16df0,Barrington,Barrington,TAS,Kentish,,Suburb/Locality,-41.33000183,146.2700043,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16df0,http://tlcmap.org/ghap,1288
a16e32,Battery Point,Battery Point,TAS,Hobart,,Suburb/Locality,-42.88000107,147.3300018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16e32,http://tlcmap.org/ghap,1288
a16e50,Bayview,Bayview,TAS,Break O'Day,,District1,-41.29999924,148.2700043,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16e50,http://tlcmap.org/ghap,1288
a16e56,Beach Road Siding,Beach Road Siding,TAS,West Coast,,Historical locality,-42.08000183,145.2700043,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16e56,http://tlcmap.org/ghap,1288
a16e5a,Beaconsfield,Beaconsfield,TAS,West Tamar,,Suburb/Locality,-41.18999863,146.8099976,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16e5a,http://tlcmap.org/ghap,1288
a16e73,Beaumaris,Beaumaris,TAS,Break O'Day,,Suburb/Locality,-41.40999985,148.2700043,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16e73,http://tlcmap.org/ghap,1288
a16e79,Beauty Point,Beauty Point,TAS,West Tamar,,Suburb/Locality,-41.15000153,146.8200073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16e79,http://tlcmap.org/ghap,1288
a16e97,Beechford,Beechford,TAS,George Town,,Suburb/Locality,-41.02000046,146.9499969,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16e97,http://tlcmap.org/ghap,1288
a16eae,Bell Bay,Bell Bay,TAS,George Town,,Suburb/Locality,-41.13000107,146.8600006,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16eae,http://tlcmap.org/ghap,1288
a16ebb,Bella-Macargee,Bella-Macargee,TAS,Devonport,,District1,-41.20000076,146.2599945,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16ebb,http://tlcmap.org/ghap,1288
a16ec2,Bellerive,Bellerive,TAS,Clarence,,Suburb/Locality,-42.86999893,147.3699951,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16ec2,http://tlcmap.org/ghap,1288
a16ece,Bellfield,Bellfield,TAS,Latrobe,,"Locality, Unbounded",-41.18999863,146.3999939,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16ece,http://tlcmap.org/ghap,1288
a16ecf,Bellinger Siding,Bellinger Siding,TAS,West Coast,,Historical locality,-42.11000061,145.3000031,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16ecf,http://tlcmap.org/ghap,1288
a16ed0,Bellingham,Bellingham,TAS,George Town,,Suburb/Locality,-41.00999832,147.1499939,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16ed0,http://tlcmap.org/ghap,1288
a16eeb,Ben Lomond,Ben Lomond,TAS,Northern Midlands,,Suburb/Locality,-41.56999969,147.6799927,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16eeb,http://tlcmap.org/ghap,1288
a16efa,Bengeo,Bengeo,TAS,Meander Valley,,District1,-41.5,146.5800018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16efa,http://tlcmap.org/ghap,1288
a16f15,Bermuda,Bermuda,TAS,Huon Valley,,Historical locality,-43.06000137,146.8999939,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16f15,http://tlcmap.org/ghap,1288
a16f17,Bernacchi,Bernacchi,TAS,Central Highlands,,"Locality, Unbounded",-41.84000015,146.5700073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16f17,http://tlcmap.org/ghap,1288
a16f1c,Bernes Paddocks,Bernes Paddocks,TAS,Meander Valley,,District1,-41.66999817,146.7200012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16f1c,http://tlcmap.org/ghap,1288
a16f1e,Berriedale,Berriedale,TAS,Glenorchy,,Suburb/Locality,-42.81000137,147.25,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16f1e,http://tlcmap.org/ghap,1288
a16f44,Bicheno,Bicheno,TAS,Glamorgan-Spring Bay,,Suburb/Locality,-41.86999893,148.3000031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16f44,http://tlcmap.org/ghap,1288
a16f55,Big Bend,Big Bend,TAS,Kentish,,Historical locality,-41.34999847,146.2599945,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16f55,http://tlcmap.org/ghap,1288
a16fe5,Binalong Bay,Binalong Bay,TAS,Break O'Day,,Suburb/Locality,-41.25,148.3000031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16fe5,http://tlcmap.org/ghap,1288
a16fec,Birchs Bay,Birchs Bay,TAS,Kingborough,,Suburb/Locality,-43.16999817,147.2299957,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16fec,http://tlcmap.org/ghap,1288
a17004,Birralee,Birralee,TAS,Meander Valley,,Suburb/Locality,-41.40999985,146.8000031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17004,http://tlcmap.org/ghap,1288
a17016,Bishopsbourne,Bishopsbourne,TAS,Northern Midlands,,Suburb/Locality,-41.61000061,146.9799957,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17016,http://tlcmap.org/ghap,1288
a1702c,Black Brush,Black Brush,TAS,Southern Midlands,,District1,-42.65999985,147.1699982,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1702c,http://tlcmap.org/ghap,1288
a17051,Black Hills,Black Hills,TAS,Derwent Valley,,Suburb/Locality,-42.72000122,147.0299988,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17051,http://tlcmap.org/ghap,1288
a1707a,Black River,Black River,TAS,Circular Head,,Suburb/Locality,-40.84000015,145.3000031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1707a,http://tlcmap.org/ghap,1288
a170a7,Blackhall Bottom,Blackhall Bottom,TAS,Derwent Valley,,District1,-42.81000137,147.0800018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a170a7,http://tlcmap.org/ghap,1288
a170ae,Blackman Bay,Blackman Bay,TAS,Sorell,,District1,-42.84999847,147.8300018,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a170ae,http://tlcmap.org/ghap,1288
a170b8,Blackmans Bay,Blackmans Bay,TAS,Kingborough,,Suburb/Locality,-43.0,147.3200073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a170b8,http://tlcmap.org/ghap,1288
a170cb,Blackstone Heights,Blackstone Heights,TAS,Meander Valley,,Suburb/Locality,-41.45000076,147.0800018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a170cb,http://tlcmap.org/ghap,1288
a170d0,Blackwall,Blackwall,TAS,West Tamar,,Suburb/Locality,-41.29999924,146.9700012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a170d0,http://tlcmap.org/ghap,1288
a170d8,Blackwood Creek,Blackwood Creek,TAS,Northern Midlands,,Suburb/Locality,-41.74000168,146.8899994,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a170d8,http://tlcmap.org/ghap,1288
a170ef,Blessington,Blessington,TAS,Launceston,,Suburb/Locality,-41.52000046,147.4600067,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a170ef,http://tlcmap.org/ghap,1288
a17129,Blue Rocks,Blue Rocks,TAS,Flinders,,Suburb/Locality,-40.04999924,147.9499969,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17129,http://tlcmap.org/ghap,1288
a17151,Blumont,Blumont,TAS,Dorset,,Suburb/Locality,-41.15000153,147.4100037,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17151,http://tlcmap.org/ghap,1288
a17156,Blythe Heads,Blythe Heads,TAS,Central Coast,,"Locality, Unbounded",-41.06999969,145.9799957,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a17156,http://tlcmap.org/ghap,1288
a1715b,Boags Country,Boags Country,TAS,Launceston,,District1,-41.38000107,147.4600067,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a1715b,http://tlcmap.org/ghap,1288
a17166,Boat Harbour,Boat Harbour,TAS,Waratah-Wynyard,,Suburb/Locality,-40.93999863,145.6300049,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17166,http://tlcmap.org/ghap,1288
a17168,Boat Harbour Beach,Boat Harbour Beach,TAS,Waratah-Wynyard,,Suburb/Locality,-40.91999817,145.6100006,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17168,http://tlcmap.org/ghap,1288
a171b9,Bonnet Hill,Bonnet Hill,TAS,Kingborough,,Suburb/Locality,-42.97000122,147.3200073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a171b9,http://tlcmap.org/ghap,1288
a171c8,Boobyalla,Boobyalla,TAS,Dorset,,Suburb/Locality,-40.88999939,147.8699951,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a171c8,http://tlcmap.org/ghap,1288
a171d0,Boomer Bay,Boomer Bay,TAS,Sorell,,Suburb/Locality,-42.84999847,147.8300018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a171d0,http://tlcmap.org/ghap,1288
a171fb,Bothwell,Bothwell,TAS,Central Highlands,,Suburb/Locality,-42.38000107,147.0,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a171fb,http://tlcmap.org/ghap,1288
a1722b,Bowling,Bowling,TAS,King Island,,District1,-39.88000107,143.8699951,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a1722b,http://tlcmap.org/ghap,1288
a17242,Boyer,Boyer,TAS,Derwent Valley,,Suburb/Locality,-42.77000046,147.0899963,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17242,http://tlcmap.org/ghap,1288
a1724d,Bracknell,Bracknell,TAS,Meander Valley,,Suburb/Locality,-41.65000153,146.9299927,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1724d,http://tlcmap.org/ghap,1288
a17268,Bradys Lake,Bradys Lake,TAS,Central Highlands,,Suburb/Locality,-42.25,146.5,Australian Gazetteer,,Gazetted,,,,http://tlcmap.org/ghap/search?id=a17268,http://tlcmap.org/ghap,1288
a1727c,Brandum,Brandum,TAS,Central Highlands,,Suburb/Locality,-41.81999969,146.6699982,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1727c,http://tlcmap.org/ghap,1288
a1727f,Brandy Bottom,Brandy Bottom,TAS,Southern Midlands,,District1,-42.50999832,147.3999939,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1727f,http://tlcmap.org/ghap,1288
a17287,Branxholm,Branxholm,TAS,Dorset,,Suburb/Locality,-41.16999817,147.7200012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17287,http://tlcmap.org/ghap,1288
a17291,Breadalbane,Breadalbane,TAS,Northern Midlands,,Suburb/Locality,-41.52000046,147.1799927,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17291,http://tlcmap.org/ghap,1288
a17293,Break O'Day,Break O'Day,TAS,Break O'Day,,Municipality/City,-41.423,148.053,TAS LGA,Only accurate to LGA,SpecLegis,,,,http://tlcmap.org/ghap/search?id=a17293,http://tlcmap.org/ghap,1288
a172ae,Bream Creek,Bream Creek,TAS,Sorell,,Suburb/Locality,-42.79999924,147.8300018,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a172ae,http://tlcmap.org/ghap,1288
a172b6,Breona,Breona,TAS,Central Highlands,,Suburb/Locality,-41.77999878,146.6999969,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a172b6,http://tlcmap.org/ghap,1288
a172d8,Bridgenorth,Bridgenorth,TAS,West Tamar,,Suburb/Locality,-41.36999893,146.9700012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a172d8,http://tlcmap.org/ghap,1288
a172db,Bridgewater,Bridgewater,TAS,Brighton,,Suburb/Locality,-42.72999954,147.2200012,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a172db,http://tlcmap.org/ghap,1288
a172dc,Bridport,Bridport,TAS,Dorset,,Suburb/Locality,-40.99000168,147.3800049,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a172dc,http://tlcmap.org/ghap,1288
a172ea,Brighton,Brighton,TAS,Brighton,,Municipality/City,-42.72,147.26,TAS LGA,Only accurate to LGA,SpecLegis,,,,http://tlcmap.org/ghap/search?id=a172ea,http://tlcmap.org/ghap,1288
a172fd,Brittons Swamp,Brittons Swamp,TAS,Circular Head,,Suburb/Locality,-40.91999817,144.9600067,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a172fd,http://tlcmap.org/ghap,1288
a17307,Broadlands,Broadlands,TAS,Waratah-Wynyard,,District1,-41.36000061,145.6799927,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a17307,http://tlcmap.org/ghap,1288
a17308,Broadmarsh,Broadmarsh,TAS,Southern Midlands,,Suburb/Locality,-42.65000153,147.1199951,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17308,http://tlcmap.org/ghap,1288
a17309,Broadmeadows,Broadmeadows,TAS,Circular Head,,Suburb/Locality,-40.86999893,145.0700073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17309,http://tlcmap.org/ghap,1288
a17320,Bronte,Bronte,TAS,Central Highlands,,"Locality, Unbounded",-42.15000153,146.4900055,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17320,http://tlcmap.org/ghap,1288
a17326,Bronte Park,Bronte Park,TAS,Central Highlands,,Suburb/Locality,-42.13000107,146.4900055,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17326,http://tlcmap.org/ghap,1288
a1732a,Brook Head,Brook Head,TAS,Meander Valley,,District1,-41.45000076,146.4900055,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a1732a,http://tlcmap.org/ghap,1288
a17332,Brooklyn,Brooklyn,TAS,Burnie,,Suburb/Locality,-41.06999969,145.8999939,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17332,http://tlcmap.org/ghap,1288
a17337,Brooks Bay,Brooks Bay,TAS,Huon Valley,,Suburb/Locality,-43.22999954,147.0200043,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17337,http://tlcmap.org/ghap,1288
a17341,Brookside,Brookside,TAS,Derwent Valley,,District1,-42.81000137,147.0500031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a17341,http://tlcmap.org/ghap,1288
