DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,DESC,YEAR_DISPLAY,NAME,WILL_NO,YEAR,SHIP,PROPERTY,PROPERTY_INDEX,CORRES_SUBJ,SUBJ_SR,NAME_TITLE,NAME_RANK,NAME_SEE_ALSO,DESC_SR
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590332,Charge for harbouring (14776)|An account from doctor  (15971)|For the loan of eight men near the Liffy Bridge (6920)|Military (11990)|To procure salt from the Plains (8441)|For indulgences to shepherds (8441)|Supplies furnished  for Arthur (8908)|Confirming of paying ?Â¿2 for servant (10368)|Fencing Westbury township (9262)|The loan of a boats crew (11385)|Speculation to Swan River (9897)|To convey post to George Town (11542)|Respecting Ferry having servants (16501)|Children assigned Lieutenant Lea (18712)|Warrant against (17654)|Mr. C. Connor to report (17822)|Fine (19059),1824-1836,"Bryan, William","14776, 15971, 6920, 11990, 8441, 8441, 8908, 10368, 9262, 11385, 9897, 11542, 16501, 18712, 17654, 17822, 18220, 19059",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 7,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-7,https://stors.tas.gov.au/NI/1590335,Loss of an anchor by Government,1824-1836,"Ballam, Given Name Not Recorded",8687,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 8,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-8,https://stors.tas.gov.au/NI/1590365,Charged with an unnatural crime,1824-1836,"Bradley, F.J",9060,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-9,https://stors.tas.gov.au/NI/1590379,"Claiming a reserve, land (96)|Fees (492)|Ship Hope (560)|Valuation of store (2292)|Tender of iron pitch (4782)|Allotment of ground contiguous to store at the jetty (5127)|As to the occupation of part of Slooping Island (6390)|Compensation for loss by plunder of brandy in bonded stores (5297)|For an allotment of ground (5693)|To send his whaling gang to Port Davey (6050)|Willis in the service of Lieutenant Governor Arthur (758)|Land at Pittwater (802)|Store on the wharf (804)",1824-1836,"Bethune, W.A","96, 492, 560, 2292, 4782, 5127, 6390, 5297, 5693, 6050, 758, 802, 804",1824-1836,Hope,,,,,,,,
CSO3-1-1 / B / Image 9,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-9,https://stors.tas.gov.au/NI/1590389,His means for cultivating land (756)|A Situation (870)|Deficiency of goods and cyprus store P.D (1249)|For an appointment (Increase and salary) (6908),1824-1836,"Bently, Timothy","756, 870, 1249, 6908",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590392,"On appointment of the Clerk of the Naval Officer (767)|W. Harrisons marriage (14780)|Concerning Mr. Willis (19049)|Offering to instruct the Lieutenant Governor children (3015)|Returning thanks (3017)|About to visit Launceston (3016)|Leave of absence (17036)|Appointed Chaplain (14668)|Carts to convey baggage (14926)|Glebe to be enclosed and a house built, claiming an allowance, insulting letter to Dean (15099)|Bibles required for road gang at Ross   (15145)|Not sending returns  (17668)|To visit men in gaol (17729)",1824-1836,"Bedford, William John","767, 14780, 19049, 3015, 3017, 3016, 17036, 14668, 14926, 15099, 15145, 17668, 17729",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 10,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-10,https://stors.tas.gov.au/NI/1590395,Land (2877)|To marry (2496)|Respecting an orphan (11631),1824-1836,"Berry, Andrew","2877, 2496, 11631",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-11,https://stors.tas.gov.au/NI/1590416,Land (6290)|Allocated to bring Captain Lydon from Sydney (8742)|Farm allotment (8168)|Comply of port muster  (11040)|Tendering as an auctioneer to government (12991)|Poundage money (18352)|Mechanics (14793)|Complaining chain gang (16170)|Complaining pays kept by military (18195),1824-1836,"Beveridge, Adam","6290, 8742, 8168, 11040, 12991, 18352, 14793, 16170, 18195",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 13,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-13,https://stors.tas.gov.au/NI/1590460,For an appointment his son,1824-1836,"Berthon, B",16389,1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 14,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-14,https://stors.tas.gov.au/NI/1590466,Land (732)|Forwarding parcel (814)|Scanfield (908)|For J Colbert to be received in the hospital (887)|At the charge of new register (2442)|Respecting the landing of the American ships cargoes (783)|Tender of an anchor  (11223)|Encroachment on main guard (15557),1824-1836,"Briggs, John","171, 732, 814, 908, 887, 2442, 783, 11223, 15557",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 14,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-14,https://stors.tas.gov.au/NI/1590477,"Return of convicts (216)|Roads (254)|Curtin  (310)|House in May St (633)|Requesting another boat for the guard  (1271)|For the military to return from the wreck of the Hope (2396)|List of persons to return to Maria Island (2773)|Conveyance of two soldiers to Maria Island (3148)|Whale boat to be sent to Captain Hibberd (4148)|Purchase of horses, mounted police (3913)|Captain Hibbert supposed to block  (4720)|House rented by him in Macquarie St (633)|Privates Royal Corps per Derwent to George Town (4786)|Arms and ammunition sent to the Civil Commandant Launceston (6320)|Watchmen in charge of the Commissariat Store drunk (6336)|Powder damaged on board the Magazine (6367)|Additional clerk (6342)|Horse to be furnished to an officer ordered into the interior (6343)|As a charge made for supplying hull with his paper (6459)|Constable of Bonded Store found asleep (6537)|Constable of Bonded Store found asleep (6754)|Watchman Colonial Secretary Office off his duty (7275)|Officer in a dilapidated state (9258)|Signals (19088)",1824-1836,,"216, 254, 310, 633, 1271, 2396, 2773, 3148, 4148, 3913, 4720, 633, 4786, 6320, 6336, 6367, 6342, 6343, 6459, 6537, 6754, 7275, 9258, 19088",1824-1836,,,,Brigade Major,Brigade Major,,,,
CSO3-1-1 / B / Image 20,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-20,https://stors.tas.gov.au/NI/1590579,"Against Mr. Mulgrave (416)|Land  (8368)|Servants and an account of his character (9939)|Against Mr. Wales charge for stealing iron (16082)|Sundry papers, trial for larceny and application for reinstatement, land, and about one acre (864)|P.A. Mulgrave transmitting a letter respecting him (4899)|His memorial (4900)|Against Mr Mulgrave (13918)|To be appointed lecturer and catechist (4840)|To Georges River (15508)|Enclosing bill for a saddle and as furnished Inspector of Distilleries (6495)",1824-1836,"Brown, W.H","416, 8368, 9939, 16082, 864, 4899, 4900, 13918, 4840, 15508, 6495",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 22,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-22,https://stors.tas.gov.au/NI/1590610,Application for an allotment of ground (2893)|Payment of 300 pounds (10762)|Advance of salary (18320)|Advance made by colonial agent (15767)|Member of committee (18909)|His son appointed audit office (18901),1824-1836,"Boys, G.W","2893, 10762, 18320, 15767, 18909, 18901",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 23,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-23,https://stors.tas.gov.au/NI/1590628,Survey on spirits there (2904)|Issues from 1820  (1034)|Application to bond rums beyond legal strength (2016)|Respecting the depositing of spirits and charge there on (store in old factory) (2925)|Gauging fees return of amount percentage on gauging spirits (4313)|Quarterly return. Receipts and issues of the bonded store prisoners barracks (4105)|Additional bonded stores (6866)|Private individuals bonding their own spirits (11033)|An overseer to be appointed (14697)|Renting Mr. Watson's system of private bonding (17189),1824-1836,,"2904, 1034, 2016, 2925, 4313, 4105, 6866, 11033, 14697, 17189",1824-1836,,,,Bonded Stores,Bonded Stores,,,,
CSO3-1-1 / B / Image 27,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-27,https://stors.tas.gov.au/NI/1590723,Not able to attend Council and keeping W Emmett  for an inquest (19151)|Messengers not to attend Clerks and Bells to be away with (19153)|Making known a private communication (19146),1824-1836,"Burnett, John","19151, 19153, 19146",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 28,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-28,https://stors.tas.gov.au/NI/1590739,"Memo for an allottment at Richmond and for lawyers (3070)|Land (8211)|Buying a convict, contract at party (13235)|Spirits seized (71493)|Charge for fencing (15895)|Expenses incurred by Colonel Arthur (268)",1824-1836,"Buscomb, J.R","3070, 8211, 13235, 71493, 15895, 268",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 28,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-28,https://stors.tas.gov.au/NI/1590742,Wheat (855)|For an issue of bedding  (13456),1824-1836,"Bunker, Sarah","855, 13456",1824-1836,,,,,,,,,
CSO3-1-1 / B / Image 29,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-4-29,https://stors.tas.gov.au/NI/1590752,For a licence for an inn,1824-1836,"Brumby, William",3964,1824-1836,,,,,,,,,
CSO3-1-1 / C / Image 3,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-5-3,https://stors.tas.gov.au/NI/1590812,"Widow McCrae (253)|M. Davis (545)|Widow Luthell (450)|Repairs of St. Davids Church (868)|For McCoy and family to be placed on the store (1586)|Bible Society (2651)|Respecting Mr and Mrs Ricketts (2650)|Record of bench of magistrates (2649)|Respecting letting his Glebe (2543)|Expenses incurred in travelling (1717)|Return of schools in the Colony (2652)|Respecting Charles Tonge Schoolmaster (2260)|Respecting Mrs Von Bibra (2656)|Recommendations for masters of public schools (2653)|Rations for the school master at Sorell (2654)|Respecting his salary (5366)|Baptism of child of private Woolford (2655)|Passage from Sydney (5149)|Respecting salary and allowances. Gaol (5344)|Chaplains clerk increased salary proffered. (5657)|Enclosing a letter received from Mr. Bethune (2659)|Mr. Bedford to succeed Mr. Knopwood (2727)|Requesting certain rations for Mr. Stone Schoolmaster (2660)|Vindication of his character (4909)|For a boat (5629)|In reference to his interferance with gaol guard (5911)|Appointment of the Reverend Mr. Bedford (2727)|Charge of the Society for Christian Knowledge (6476)|Travelling expenses, gone without leave (6583)|As to Mr. Worthys resignation (3223)|For part of the Glebe to be allotted to him (7381)|Ticket of leave men absenting themselves (7891)|Births, marriages and burials (4895)|Remuneration any military, refused (2333)|Coffin for a free man (10210)|Mr Bisdee complaining  (3545)|New form of payee for government, council and Aborigines (10608)|To return of fifty pounds for purchase of horse (11419)|An infant school be established (11521)|Duties upon Mr Palmers appointment (14958)|?Â¿20 be advanced to Dr. McLeay (14983)|Respecting Alexander Cameron's marriage (15060)|Amount of emoluments to be stated (15302)|?Â¿50 of Income to be paid to Mr. Palmer (15571)|Lieutenant Governor Collins vault to be repaired (16051)|Respecting Mr. Palmer taking seat in council (16115)|Charge as to Lockwoods case (16660)|Sale of parsonage and a new one to be built (16818)|Neglecting to make returns to Rural Dean (carried to new index) (10215)|A school proposed. Christian Knowledge Society (17748)|Powers of rural dean (carried to new index) (15616)|Expenditure of ?Â¿30 repairs of House. Settlement  (18677)|Charging Mr. Palmer taking off his gown (15579)|Mr Norman and Mr Turners opinion of him (18836)|Correspondence relative to Dawsons marriage (18842)|Respecting marriage (19151)|Memo of references made to him to furnish returns (19162)",1824-1836,,"253, 545, 450, 868, 1586, 2651, 2650, 2649, 2543, 1717, 2652, 2260, 2656, 2653, 2654, 5366, 2655, 5149, 5344, 5657, 2659, 2727, 2660, 4909, 5629, 5911, 2727, 6476, 6583, 3223, 7381, 7891, 4895, 2333, 10210, 3545, 10608, 11419, 11521, 14958, 14983, 15060, 15302, 15571, 16051, 16115, 16660, 16818, 10215, 17748, 15616, 18677, 15579, 18836, 18842, 19151, 19162",1824-1836,,,,Chaplain Hobart Town,Chaplain Hobart Town,,,,
CSO3-1-1 / C / Image 8,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-5-8,https://stors.tas.gov.au/NI/1590903,"Enquiry to whom the reports should be sent (5717)|Schoolmaster to be appointed (13902)|Hire of a school house (17629)|A reserve for burial ground (18801)|An allotment found by Colonial Superintendent Englebert  (18997)|Removal of military to (3184)|State of the streets. Men to be removed to Ross (16229)|Men and tools to be sent to Campbell Town (16832)|Works in progress. Plan of same  (17365)|Correspondence sale of a street  (18997)|Township. Applications to rent (6852)|A hospital required (19101)|Bridge (10338)|Glebe to be leased, Parsonage (13777)",1824-1836,,"5717, 13902, 17629, 18801, 18997, 3184, 16229, 16832, 17365, 18997, 6852, 19101, 10338, 13777",1824-1836,,,,Coroner,Coroner,,,,
CSO3-1-1 / C / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-5-11,https://stors.tas.gov.au/NI/1590948,For an allotment of ground at Blackmans River,1824-1836,"Clark, William",2975,1824-1836,,,,,,,,,
CSO3-1-1 / C / Image 11,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-5-11,https://stors.tas.gov.au/NI/1590951,"Colonel Sorell recommending him (2810)|Land (3674)|To be appointed gaoler at Launceston (14329)|For money to be returned which was paid on the clearing out of the schooner Hunter. (3092)|Complaining of a female being assigned to him (11527)|For an increase of salary, for appointment (17345)|Appointed Master, Orphan Schools (18370)",1824-1836,"Champion, F","2810, 3674, 14329, 3092, 11527, 17345, 18370",1824-1836,,Queen's Orphan School,Queen's Orphan School,,,,,,
CSO3-1-1 / C / Image 13,https://stors.tas.gov.au/CSO3-1-1$init=CSO3-1-1-5-13,https://stors.tas.gov.au/NI/1591000,Appointed an assistant surveyor (9721)|Salary in advance (12693)|(Sir John Franklin's papers) report on Maria Island (7779),1824-1836,"Calder, James Erskine","9721, 12693, 7779",1824-1836,,Maria Island Penal Settlement,Maria Island Penal Settlement,,,,,,
